key,value
đc,được
chs,chơi
dc,được
duoc,được
lun,luôn
gem,game
mik,mình
khong,không
geam,game
vl,PROFANE
ae,anh em
cx,cũng
vn,việt nam
gema,game
dau,đâu
ng,người
wa,quá
vs,với
đm,PROFANE
acc,account
bt,biết
gaem,game
vcl,PROFANE
hk,không
cac,PROFANE
thich,thích 
fb,facebook
qc,quảng cáo
bn,bạn
thik,thích 
lol,PROFANE
het,hết
rât,rất
dm,PROFANE
mk,mình
luon,luôn
dk,được
cap,cập
nhieu,nhiều
mat,mất
ghet,ghét
kh,không
loz,PROFANE
nhat,nhất
nx,nữa
that,thật
dell,không
vc,PROFANE
zui,vui
lm,làm
đb,PROFANE
ik,đi
cko,cho
ms,mới 
luc,lúc
mot,một
cuc,PROFANE
nguoi,người
geme,game
nv,nhân vật
gêm,game
lac,lag
chx,chơi
xog,xong
ko,không
hog,không
hok,không
mak,mà
ah,anh
iu,yêu
dô,vô
zo,vô
zô,vô
đcm,PROFANE
dcm,PROFANE
j,gì
dkm,PROFANE
wá,quá
nhug,nhưng

